time,hmd rotation
14:49:50:131,-0.00252003
14:49:50:173,-0.004471335
14:49:50:181,-0.004499794
14:49:50:188,-0.003950147
14:49:50:197,-0.004168347
14:49:50:207,-0.003059631
14:49:50:215,-0.003217295
14:49:50:237,-0.004202314
14:49:50:244,-0.00407392
14:49:50:253,-0.003161413
14:49:50:263,-0.002757855
14:49:50:271,-0.002258621
14:49:50:279,-0.002563726
14:49:50:287,-0.002712415
14:49:50:295,-0.002805998
14:49:50:304,-0.003447986
14:49:50:311,-0.003457021
14:49:50:323,-0.003222884
14:49:50:332,-0.003370174
14:49:50:341,-0.003877752
14:49:50:347,-0.003350159
14:49:50:355,-0.003199213
14:49:50:363,-0.003879229
14:49:50:371,-0.00330428
14:49:50:378,-0.002762334
14:49:50:390,-0.003262217
14:49:50:396,-0.003958099
14:49:50:404,-0.003373662
14:49:50:413,-0.002884341
14:49:50:421,-0.003701763
14:49:50:427,-0.003375131
14:49:50:436,-0.003551146
14:49:50:445,-0.00332818
14:49:50:453,-0.003487312
14:49:50:461,-0.003203675
14:49:50:468,-0.002644447
14:49:50:478,-0.003137588
14:49:50:485,-0.003813229
14:49:50:497,-0.003923962
14:49:50:504,-0.003342182
14:49:50:511,-0.003725159
14:49:50:519,-0.003649474
14:49:50:527,-0.004222559
14:49:50:535,-0.003832432
14:49:50:543,-0.004205991
14:49:50:551,-0.004660331
14:49:50:559,-0.00448867
14:49:50:567,-0.004482199
14:49:50:576,-0.004821422
14:49:50:584,-0.004540454
14:49:50:592,-0.004139145
14:49:50:600,-0.003711962
14:49:50:608,-0.003682486
14:49:50:617,-0.002844837
14:49:50:626,-0.003054265
14:49:50:635,-0.002649249
14:49:50:643,-0.002911506
14:49:50:652,-0.0030316
14:49:50:663,-0.003096676
14:49:50:671,-0.003286265
14:49:50:679,-0.003123241
14:49:50:687,-0.002917633
14:49:50:696,-0.002555999
14:49:50:705,-0.002442899
14:49:50:713,-0.002511669
14:49:50:723,-0.0036807
14:49:50:731,-0.003156533
14:49:50:741,-0.002907029
14:49:50:749,-0.002988994
14:49:50:757,-0.002340241
14:49:50:765,-0.001789009
14:49:50:774,-0.0007115908
14:49:50:783,-0.001689611
14:49:50:790,-0.0005077758
14:49:50:799,-0.0005100049
14:49:50:806,0.0004381329
14:49:50:815,0.0005383858
14:49:50:823,-0.0007682268
14:49:50:848,-0.0009551572
14:49:50:857,-0.001089928
14:49:50:866,-0.0007612283
14:49:50:873,-0.0006206046
