time,hmd rotation
14:08:44:437,-0.003074048
14:08:44:477,-0.002288171
14:08:44:484,-0.002777396
14:08:44:495,-0.002151434
14:08:44:502,-0.002709976
14:08:44:516,-0.002785507
14:08:44:524,-0.002953255
14:08:44:534,-0.003525919
14:08:44:543,-0.003618485
14:08:44:553,-0.003575074
14:08:44:577,-0.004017404
14:08:44:587,-0.00374988
14:08:44:597,-0.002885557
14:08:44:604,-0.003660765
14:08:44:614,-0.00336918
14:08:44:624,-0.002442907
14:08:44:633,-0.002383071
14:08:44:639,-0.002330814
14:08:44:648,-0.002768497
14:08:44:657,-0.003282663
14:08:44:665,-0.003437159
14:08:44:673,-0.003252638
14:08:44:684,-0.003391675
14:08:44:692,-0.003652729
14:08:44:701,-0.004257191
14:08:44:709,-0.003154472
14:08:44:717,-0.003677299
14:08:44:725,-0.003896815
14:08:44:734,-0.004431333
14:08:44:740,-0.003239227
14:08:44:750,-0.002461095
14:08:44:757,-0.002197135
14:08:44:764,-0.001488885
14:08:44:773,-0.0009481789
14:08:44:781,-0.001238138
14:08:44:789,-0.001309747
14:08:44:798,-0.001485499
14:08:44:806,-0.00145621
14:08:44:815,-0.001293472
14:08:44:823,-0.001724043
14:08:44:831,-0.001993603
14:08:44:839,-0.001153428
14:08:44:849,-0.001203483
14:08:44:859,-0.001091879
14:08:44:869,-0.0004359479
14:08:44:879,-0.0006588175
14:08:44:887,-0.0005990654
14:08:44:898,-0.0006716399
14:08:44:907,-0.0008507944
14:08:44:920,-0.0007390013
14:08:44:927,-0.0007859895
14:08:44:940,-0.0008900755
14:08:44:947,-6.150671E-07
14:08:44:959,0.0003790521
14:08:44:971,-0.001317593
14:08:44:980,-0.001305441
14:08:44:988,-0.001818848
14:08:44:999,-0.001952078
14:08:45:008,-0.002751617
14:08:45:018,-0.002419173
14:08:45:028,-0.001291225
14:08:45:038,-0.001482261
14:08:45:045,-0.002754193
14:08:45:053,-0.002758065
14:08:45:061,-0.002843233
14:08:45:069,-0.00266475
14:08:45:080,-0.003186889
14:08:45:088,-0.002792455
14:08:45:097,-0.002224926
14:08:45:119,-0.002288461
14:08:45:128,-0.002433412
14:08:45:136,-0.0022504
14:08:45:144,-0.001972337
14:08:45:153,-0.001308966
14:08:45:161,-0.001690751
14:08:45:170,-0.001326737
14:08:45:181,-0.00135724
14:08:45:191,-0.00160957
14:08:45:201,-0.00207064
14:08:45:210,-0.001866612
14:08:45:219,-0.001923103
14:08:45:227,-0.001833511
14:08:45:237,-0.002499319
14:08:45:245,-0.002738427
14:08:45:254,-0.003040364
14:08:45:263,-0.002506219
14:08:45:272,-0.002506921
14:08:45:282,-0.002344929
14:08:45:290,-0.001883897
14:08:45:302,-0.002566394
14:08:45:312,-0.001909971
14:08:45:322,-0.002866697
14:08:45:331,-0.002552408
14:08:45:339,-0.00286785
14:08:45:349,-0.002926173
14:08:45:356,-0.002254747
14:08:45:365,-0.003229319
14:08:45:373,-0.003407001
14:08:45:381,-0.004078479
14:08:45:390,-0.005048292
14:08:45:400,-0.005350254
14:08:45:408,-0.005567322
14:08:45:415,-0.006408691
14:08:45:424,-0.006744385
14:08:45:431,-0.005767822
14:08:45:439,-0.007110596
14:08:45:449,-0.006896973
14:08:45:457,-0.007049561
14:08:45:463,-0.006347656
14:08:45:472,-0.006103516
14:08:45:481,-0.006408691
14:08:45:488,-0.00668335
14:08:45:496,-0.006744385
14:08:45:504,-0.00604248
14:08:45:513,-0.006591797
14:08:45:521,-0.006622314
14:08:45:528,-0.007141113
14:08:45:537,-0.006378174
14:08:45:544,-0.006164551
14:08:45:555,-0.006286621
14:08:45:563,-0.006896973
14:08:45:572,-0.006225586
14:08:45:581,-0.006439209
14:08:45:589,-0.006195068
14:08:45:597,-0.005737305
14:08:45:606,-0.006317139
14:08:45:618,-0.006072998
14:08:45:626,-0.005513757
14:08:45:636,-0.006225586
14:08:45:644,-0.006286621
14:08:45:652,-0.005076817
14:08:45:661,-0.00562561
14:08:45:671,-0.005889893
14:08:45:681,-0.005234556
14:08:45:690,-0.005577945
14:08:45:699,-0.00604248
14:08:45:708,-0.006652832
14:08:45:716,-0.006652832
14:08:45:725,-0.006835938
14:08:45:736,-0.005981445
14:08:45:744,-0.005372462
14:08:45:752,-0.005151801
14:08:45:761,-0.005950928
14:08:45:768,-0.005157325
14:08:45:776,-0.005142629
14:08:45:784,-0.004838029
14:08:45:795,-0.004675414
14:08:45:806,-0.003766172
14:08:45:813,-0.004083421
14:08:45:823,-0.004278527
14:08:45:831,-0.004159549
14:08:45:839,-0.003459629
14:08:45:846,-0.003489498
14:08:45:856,-0.003053966
14:08:45:866,-0.001809569
14:08:45:874,-0.00223985
14:08:45:881,-0.002465505
14:08:45:890,-0.00199841
14:08:45:896,-0.002158119
14:08:45:904,-0.002397057
14:08:45:914,-0.001772927
14:08:45:923,-0.002757637
14:08:45:931,-0.002269391
14:08:45:938,-0.002361814
14:08:45:947,-0.002559761
14:08:45:954,-0.003195834
14:08:45:964,-0.003549898
14:08:45:972,-0.002093483
14:08:45:978,-0.002923982
14:08:45:985,-0.002043876
14:08:45:993,-0.002440627
14:08:46:002,-0.003542065
14:08:46:011,-0.003423318
14:08:46:021,-0.002403293
14:08:46:029,-0.002054333
14:08:46:037,-0.00232525
14:08:46:045,-0.002015206
14:08:46:054,-0.001548225
14:08:46:062,-0.001458462
14:08:46:073,-0.002650291
14:08:46:081,-0.002697149
14:08:46:088,-0.003531496
14:08:46:097,-0.004015877
14:08:46:105,-0.003964156
14:08:46:114,-0.004459005
14:08:46:124,-0.005167176
14:08:46:134,-0.004235011
14:08:46:143,-0.004349878
14:08:46:153,-0.002606603
14:08:46:161,-0.001356188
14:08:46:171,0.0001017172
14:08:46:178,0.001610679
14:08:46:191,0.003198223
14:08:46:199,0.0008178689
14:08:46:209,-0.0007950655
14:08:46:217,-0.001797882
14:08:46:227,-0.003081465
14:08:46:236,-0.001267937
14:08:46:247,-0.000802176
14:08:46:256,-0.0005569467
14:08:46:264,-0.001696713
14:08:46:273,-0.001368825
14:08:46:282,-0.001333637
14:08:46:291,-0.001639179
14:08:46:303,-0.0006985064
14:08:46:311,-0.0004606958
14:08:46:319,-0.0007233314
14:08:46:328,0.0007933808
14:08:46:336,0.001304293
14:08:46:344,0.0042325
14:08:46:354,0.004240049
14:08:46:361,0.004106572
14:08:46:370,0.002840049
14:08:46:377,0.001274355
14:08:46:387,-0.0004134752
14:08:46:395,-0.002725868
14:08:46:402,-0.003656122
14:08:46:412,-0.00401326
14:08:46:420,-0.003005006
14:08:46:428,-0.001356603
14:08:46:436,0.0005074698
14:08:46:444,0.002120636
14:08:46:452,0.003399301
14:08:46:460,0.003112194
14:08:46:471,0.003355258
14:08:46:480,0.00166989
14:08:46:488,0.0002189725
14:08:46:495,-0.001560385
14:08:46:504,-0.001842491
14:08:46:512,-0.002697294
14:08:46:521,-0.00197098
14:08:46:530,-0.0006798638
14:08:46:537,-0.00101192
14:08:46:545,-2.935296E-05
14:08:46:553,0.0003254648
14:08:46:560,0.001102633
14:08:46:570,0.0004881243
14:08:46:577,-0.0005574175
14:08:46:584,-0.0002761645
14:08:46:592,-0.001312419
14:08:46:601,-0.001784616
14:08:46:611,-0.001563435
14:08:46:621,-0.0009209538
14:08:46:631,0.0005229819
14:08:46:638,0.001316086
14:08:46:645,0.001158775
14:08:46:653,0.001951601
14:08:46:661,0.002563551
14:08:46:676,0.003859645
14:08:46:682,0.005007257
14:08:46:692,0.004637907
14:08:46:700,0.004883994
14:08:46:708,0.004784901
14:08:46:716,0.004540063
14:08:46:724,0.004791826
14:08:46:735,0.005020637
14:08:46:742,0.004981207
14:08:46:751,0.005711172
14:08:46:758,0.006130967
14:08:46:766,0.007441801
14:08:46:775,0.006813285
14:08:46:785,0.006436045
14:08:46:793,0.006952731
14:08:46:802,0.006414078
14:08:46:810,0.00607832
14:08:46:819,0.007293757
14:08:46:827,0.007277458
14:08:46:836,0.007686771
14:08:46:843,0.008209953
14:08:46:853,0.008422544
14:08:46:860,0.009081357
14:08:46:868,0.009799018
14:08:46:876,0.009436006
14:08:46:884,0.009741168
14:08:46:894,0.009196226
14:08:46:902,0.01014385
14:08:46:911,0.009244075
14:08:46:918,0.008148417
14:08:46:927,0.009018186
14:08:46:936,0.007817795
14:08:46:942,0.007623368
14:08:46:950,0.008509987
14:08:46:959,0.00812883
14:08:46:968,0.008278416
14:08:46:976,0.00776503
14:08:46:984,0.007936993
14:08:46:992,0.007692071
14:08:47:000,0.007058837
14:08:47:007,0.006756977
14:08:47:018,0.005872973
14:08:47:025,0.005288651
14:08:47:034,0.004720193
14:08:47:041,0.004125188
14:08:47:047,0.004684613
14:08:47:056,0.004224385
14:08:47:064,0.00536321
14:08:47:078,0.00509306
14:08:47:085,0.004974703
14:08:47:094,0.00566736
14:08:47:102,0.005964597
14:08:47:110,0.005276817
14:08:47:119,0.005029078
14:08:47:127,0.00430134
14:08:47:138,0.00504708
14:08:47:146,0.004908867
14:08:47:155,0.005003456
14:08:47:163,0.005670215
14:08:47:175,0.00516781
14:08:47:183,0.004270466
14:08:47:190,0.004810538
14:08:47:198,0.004746416
14:08:47:205,0.004585541
14:08:47:215,0.005265051
14:08:47:224,0.004889983
14:08:47:232,0.004263121
14:08:47:240,0.004713774
14:08:47:249,0.004319577
14:08:47:258,0.004824839
14:08:47:265,0.004914432
14:08:47:274,0.005089753
14:08:47:285,0.003979676
14:08:47:292,0.00363133
14:08:47:300,0.003691726
14:08:47:307,0.003739397
14:08:47:317,0.004081724
14:08:47:325,0.00439412
14:08:47:334,0.003455317
14:08:47:342,0.00341764
14:08:47:349,0.00309103
14:08:47:360,0.002608847
14:08:47:366,0.002159348
14:08:47:373,0.001943424
14:08:47:382,0.001405439
14:08:47:390,0.001299377
14:08:47:398,0.002047339
14:08:47:407,0.002554119
14:08:47:414,0.003455333
14:08:47:422,0.003379545
14:08:47:429,0.003902679
14:08:47:440,0.003359716
14:08:47:449,0.003321219
14:08:47:458,0.002648633
14:08:47:465,0.00192687
14:08:47:474,0.001711864
14:08:47:482,0.0009140052
14:08:47:491,0.001664713
14:08:47:501,0.001912227
14:08:47:508,0.002177749
14:08:47:518,0.001041511
14:08:47:526,0.002858671
14:08:47:534,0.002601238
14:08:47:542,0.003697823
14:08:47:553,0.002893581
14:08:47:560,0.003273066
14:08:47:568,0.002563019
14:08:47:576,0.001963422
14:08:47:584,0.002382751
14:08:47:592,0.001870399
14:08:47:600,0.002244805
14:08:47:608,0.00201013
14:08:47:618,0.001797349
14:08:47:625,0.001518578
14:08:47:632,0.0004118237
14:08:47:640,0.0004062728
14:08:47:648,0.0004593517
14:08:47:655,0.0007945878
14:08:47:664,0.002195264
14:08:47:672,0.001908307
14:08:47:681,0.003132118
14:08:47:689,0.001813405
14:08:47:699,0.002043298
14:08:47:706,0.002356587
14:08:47:715,0.001620776
14:08:47:723,0.0009639796
14:08:47:731,0.001048539
14:08:47:739,0.001189956
14:08:47:748,0.001033613
14:08:47:755,0.001200049
14:08:47:763,0.001941219
14:08:47:773,0.002856761
14:08:47:782,0.002800868
14:08:47:791,0.003740522
14:08:47:798,0.002270138
14:08:47:806,0.002142152
14:08:47:815,0.001031289
14:08:47:825,0.000845524
14:08:47:834,0.0009745153
14:08:47:843,0.001314199
14:08:47:852,0.002371896
14:08:47:861,0.003323046
14:08:47:869,0.003358958
14:08:47:876,0.004217405
14:08:47:886,0.004781724
14:08:47:894,0.004751224
14:08:47:903,0.005099478
14:08:47:914,0.00484114
14:08:47:923,0.004418646
14:08:47:932,0.003751785
14:08:47:940,0.00363312
14:08:47:947,0.003418392
14:08:47:956,0.003656117
14:08:47:963,0.00345391
14:08:47:971,0.00368566
14:08:47:979,0.003503643
14:08:47:990,0.00337898
14:08:47:997,0.00446593
14:08:48:008,0.004191544
14:08:48:015,0.004576658
14:08:48:024,0.002630004
14:08:48:032,0.003164866
14:08:48:040,0.003636506
14:08:48:048,0.002564414
14:08:48:055,0.003754344
14:08:48:066,0.002591853
14:08:48:073,0.002973381
14:08:48:085,0.002835904
14:08:48:093,0.002704808
14:08:48:102,0.003172822
14:08:48:109,0.002580166
14:08:48:119,0.001839308
14:08:48:126,0.002936072
14:08:48:135,0.0009992477
14:08:48:144,0.001011968
14:08:48:151,0.001221601
14:08:48:159,0.001030198
14:08:48:168,0.002034076
14:08:48:177,0.001603218
14:08:48:186,0.001938226
14:08:48:194,0.001979322
14:08:48:203,0.001830823
14:08:48:211,0.002171991
14:08:48:221,0.002079915
14:08:48:229,0.001588071
14:08:48:237,0.00186442
14:08:48:245,0.001728922
14:08:48:253,0.001094671
14:08:48:262,0.001206461
14:08:48:270,0.001759712
14:08:48:277,0.001734286
14:08:48:286,0.001744916
14:08:48:293,0.002889333
14:08:48:301,0.002064027
14:08:48:308,0.002362753
14:08:48:317,0.001796396
14:08:48:328,0.002409623
14:08:48:337,0.002045391
14:08:48:348,0.002686774
14:08:48:356,0.001524614
14:08:48:365,0.001840428
14:08:48:373,0.001216504
14:08:48:384,0.002066438
14:08:48:392,0.001602649
14:08:48:399,0.002846621
14:08:48:408,0.00381408
