time,hmd rotation
15:31:30:855,-0.03814697
15:31:30:889,-0.03967285
15:31:30:900,-0.03509521
15:31:30:907,-0.03509521
15:31:30:915,-0.03771973
15:31:30:933,-0.03863525
15:31:30:943,-0.03863525
15:31:30:950,-0.03863525
15:31:30:958,-0.03894043
15:31:30:965,-0.03894043
15:31:30:972,-0.03894043
15:31:30:980,-0.03717041
15:31:30:989,-0.03717041
15:31:30:996,-0.03692627
15:31:31:003,-0.03692627
15:31:31:011,-0.03692627
15:31:31:018,-0.03759766
15:31:31:025,-0.03759766
15:31:31:031,-0.03759766
15:31:31:041,-0.03625488
15:31:31:048,-0.03625488
15:31:31:055,-0.03491211
15:31:31:062,-0.03491211
15:31:31:069,-0.03491211
15:31:31:075,-0.03448486
15:31:31:082,-0.03448486
15:31:31:090,-0.03448486
15:31:31:097,-0.03616333
15:31:31:104,-0.03616333
15:31:31:111,-0.03616333
15:31:31:120,-0.03549194
15:31:31:127,-0.03549194
15:31:31:134,-0.03396606
15:31:31:145,-0.03396606
15:31:31:152,-0.03396606
15:31:31:159,-0.03579712
15:31:31:166,-0.03579712
15:31:31:173,-0.03579712
15:31:31:181,-0.03720093
15:31:31:188,-0.03720093
15:31:31:194,-0.03872681
15:31:31:203,-0.03872681
15:31:31:210,-0.03872681
15:31:31:217,-0.03872681
15:31:31:224,-0.03872681
15:31:31:231,-0.03872681
15:31:31:242,-0.03884888
15:31:31:251,-0.03884888
15:31:31:258,-0.04013062
15:31:31:265,-0.04013062
15:31:31:271,-0.04013062
15:31:31:279,-0.03884888
15:31:31:286,-0.03884888
15:31:31:293,-0.03527832
15:31:31:302,-0.03527832
15:31:31:309,-0.03527832
15:31:31:316,-0.03436279
15:31:31:325,-0.03436279
15:31:31:333,-0.03405762
15:31:31:346,-0.03405762
15:31:31:357,-0.03469849
15:31:31:366,-0.03469849
15:31:31:375,-0.03439331
15:31:31:385,-0.03439331
15:31:31:393,-0.03268433
15:31:31:401,-0.03268433
15:31:31:412,-0.03268433
15:31:31:421,-0.03366089
15:31:31:429,-0.03366089
15:31:31:438,-0.03225708
15:31:31:450,-0.03225708
15:31:31:457,-0.03311157
15:31:31:469,-0.03311157
15:31:31:476,-0.03097534
15:31:31:486,-0.03097534
15:31:31:494,-0.03024292
15:31:31:502,-0.03024292
15:31:31:510,-0.03024292
15:31:31:517,-0.02920532
15:31:31:527,-0.02920532
15:31:31:535,-0.02716064
15:31:31:543,-0.02716064
15:31:31:551,-0.02716064
15:31:31:559,-0.02423096
15:31:31:567,-0.02423096
15:31:31:575,-0.02294922
15:31:31:587,-0.02294922
15:31:31:594,-0.02185059
15:31:31:601,-0.02185059
15:31:31:607,-0.02185059
15:31:31:616,-0.02267456
15:31:31:624,-0.02267456
