time,hmd rotation
11:20:59:602,0.4907722
11:20:59:637,0.4956523
11:20:59:647,0.4970931
11:20:59:657,0.4985334
11:20:59:665,0.4992216
11:20:59:672,0.5005856
11:20:59:693,0.5016478
11:20:59:704,0.5027642
11:20:59:713,0.5037571
11:20:59:720,0.5044173
11:20:59:729,0.5042766
11:20:59:738,0.506408
11:20:59:746,0.5066021
11:20:59:753,0.5073484
11:20:59:764,0.5082003
11:20:59:771,0.5092041
11:20:59:780,0.5104607
11:20:59:787,0.5115661
11:20:59:795,0.5138258
11:20:59:804,0.5155385
11:20:59:811,0.515443
11:20:59:823,0.5169388
11:20:59:846,0.5186203
11:20:59:855,0.5175985
11:20:59:864,0.5181648
11:20:59:874,0.519084
11:20:59:882,0.5195563
11:20:59:890,0.52151
11:20:59:911,0.5242583
11:20:59:920,0.5259045
11:20:59:944,0.5322533
11:20:59:952,0.5329013
11:20:59:961,0.53562
11:20:59:971,0.5374035
11:20:59:985,0.5394349
11:20:59:995,0.5433552
11:21:00:004,0.5434881
11:21:00:014,0.5461386
11:21:00:024,0.5469871
11:21:00:033,0.5486869
11:21:00:041,0.5497792
11:21:00:053,0.5501354
11:21:00:067,0.5498688
11:21:00:075,0.5505509
11:21:00:085,0.5505204
11:21:00:093,0.5505924
11:21:00:101,0.5514387
11:21:00:112,0.551722
11:21:00:122,0.5513096
11:21:00:130,0.5505905
11:21:00:139,0.5518337
11:21:00:147,0.5524575
11:21:00:155,0.551441
11:21:00:164,0.551575
11:21:00:173,0.5516495
11:21:00:183,0.5525105
11:21:00:191,0.5537618
11:21:00:200,0.5534952
11:21:00:207,0.5531799
11:21:00:215,0.5523461
11:21:00:226,0.5523187
11:21:00:234,0.5511059
11:21:00:244,0.5512431
11:21:00:252,0.5511888
11:21:00:264,0.5519484
11:21:00:271,0.553315
11:21:00:280,0.5548448
11:21:00:291,0.5558313
11:21:00:300,0.5554118
11:21:00:311,0.5548286
11:21:00:319,0.5540516
11:21:00:326,0.5543982
11:21:00:334,0.553655
11:21:00:343,0.5539606
11:21:00:351,0.5526482
11:21:00:358,0.5531797
11:21:00:367,0.5531506
11:21:00:375,0.5534446
11:21:00:384,0.5529172
11:21:00:392,0.5525833
11:21:00:401,0.5532136
11:21:00:408,0.5531653
11:21:00:418,0.5540894
