time,hmd rotation
12:19:41:698,-0.004999819
12:19:41:733,-0.005369538
12:19:41:757,-0.005330751
12:19:41:765,-0.00543813
12:19:41:775,-0.005470872
12:19:41:784,-0.005157525
12:19:41:795,-0.004126354
12:19:41:805,-0.004710872
12:19:41:825,-0.004001441
12:19:41:837,-0.005466908
12:19:41:845,-0.005414363
12:19:41:857,-0.004954418
12:19:41:864,-0.005047414
12:19:41:874,-0.004980852
12:19:41:882,-0.005243938
12:19:41:891,-0.004908924
12:19:41:898,-0.004815886
12:19:41:907,-0.005353266
12:19:41:918,-0.005737305
12:19:41:925,-0.004980292
12:19:41:934,-0.004866569
12:19:41:942,-0.006378174
12:19:41:951,-0.005981445
12:19:41:960,-0.005652659
12:19:41:967,-0.00604248
12:19:41:977,-0.005069349
12:19:41:986,-0.004178459
12:19:42:012,-0.001917159
12:19:42:021,-0.0022347
12:19:42:047,-0.001570927
12:19:42:060,-0.00159199
12:19:42:067,-0.00112039
12:19:42:079,-0.0002964136
12:19:42:090,-0.0002049514
12:19:42:098,-0.0002147847
12:19:42:105,4.074131E-05
12:19:42:115,-0.001612449
12:19:42:123,-0.0007394721
12:19:42:131,-0.002664347
12:19:42:139,-0.00319933
12:19:42:146,-0.003444059
12:19:42:156,-0.00281916
12:19:42:164,-0.003798963
12:19:42:173,-0.003243683
12:19:42:182,-0.003070258
12:19:42:189,-0.002591371
12:19:42:197,-0.002470013
12:19:42:206,-0.002984537
12:19:42:214,-0.003279628
12:19:42:223,-0.003117656
12:19:42:230,-0.003481811
12:19:42:238,-0.003125328
12:19:42:246,-0.003812425
12:19:42:254,-0.004845615
12:19:42:266,-0.004029457
12:19:42:274,-0.003418489
12:19:42:285,-0.003952299
12:19:42:293,-0.003382163
12:19:42:300,-0.003945563
12:19:42:309,-0.003928998
12:19:42:317,-0.003671321
12:19:42:324,-0.003346962
12:19:42:332,-0.002635042
12:19:42:341,-0.001990103
12:19:42:348,-0.002382384
12:19:42:358,-0.0023889
12:19:42:366,-0.003005255
12:19:42:375,-0.003252112
12:19:42:383,-0.003943343
12:19:42:390,-0.003441265
12:19:42:401,-0.003345843
12:19:42:409,-0.004352162
12:19:42:417,-0.003771438
12:19:42:425,-0.004538259
12:19:42:434,-0.005159034
12:19:42:442,-0.004580566
12:19:42:452,-0.00592041
12:19:42:459,-0.006317139
12:19:42:467,-0.005479543
12:19:42:476,-0.005889893
12:19:42:482,-0.005007565
12:19:42:492,-0.005406596
12:19:42:500,-0.006103516
12:19:42:506,-0.005725657
12:19:42:519,-0.005450215
12:19:42:527,-0.004686358
12:19:42:534,-0.004356657
12:19:42:541,-0.003933306
12:19:42:549,-0.003801807
12:19:42:556,-0.002618325
12:19:42:564,-0.002348991
12:19:42:576,-0.001796774
12:19:42:584,-0.001186806
12:19:42:592,-0.001821692
12:19:42:600,-0.001796357
12:19:42:609,-0.000497314
12:19:42:618,-0.0006219718
12:19:42:625,-0.001303825
12:19:42:636,-0.002113714
12:19:42:644,-0.001254769
12:19:42:652,-0.001356307
12:19:42:661,-0.0007186299
12:19:42:669,-0.001918584
12:19:42:678,-0.001257021
12:19:42:686,-0.001742158
12:19:42:696,-0.002366605
12:19:42:703,-0.001928975
12:19:42:711,-0.002061217
12:19:42:720,-0.002799355
12:19:42:727,-0.003006684
12:19:42:734,-0.002983924
12:19:42:742,-0.004036625
12:19:42:752,-0.003710446
12:19:42:760,-0.003395971
12:19:42:767,-0.004294685
12:19:42:777,-0.004774284
12:19:42:785,-0.004696644
12:19:42:794,-0.004986176
12:19:42:802,-0.005691048
12:19:42:813,-0.006195068
12:19:42:821,-0.006164551
12:19:42:828,-0.006561279
12:19:42:837,-0.006561279
12:19:42:845,-0.007049561
12:19:42:851,-0.007080078
12:19:42:860,-0.006408691
12:19:42:870,-0.005981445
12:19:42:880,-0.007171631
12:19:42:888,-0.007781982
12:19:42:897,-0.008422852
12:19:42:905,-0.009460449
12:19:42:911,-0.009552002
12:19:42:921,-0.009918213
12:19:42:928,-0.01013184
12:19:42:935,-0.01101685
12:19:42:943,-0.01034546
12:19:42:950,-0.009124756
12:19:42:960,-0.009552002
12:19:42:967,-0.008850098
12:19:42:975,-0.009185791
12:19:42:986,-0.0100708
12:19:42:994,-0.01019287
12:19:43:002,-0.01043701
12:19:43:010,-0.01010132
12:19:43:019,-0.01062012
12:19:43:027,-0.009429932
12:19:43:035,-0.008666992
12:19:43:044,-0.007507324
12:19:43:052,-0.006317139
12:19:43:061,-0.005950928
12:19:43:069,-0.005643932
12:19:43:076,-0.006011963
12:19:43:085,-0.005524551
12:19:43:092,-0.006256104
12:19:43:103,-0.00692749
12:19:43:110,-0.007263184
12:19:43:120,-0.006896973
12:19:43:128,-0.006072998
12:19:43:136,-0.005828857
12:19:43:143,-0.005570382
12:19:43:154,-0.005267804
12:19:43:164,-0.004973765
12:19:43:172,-0.00604248
12:19:43:183,-0.006622314
12:19:43:192,-0.006744385
12:19:43:202,-0.006286621
12:19:43:211,-0.006530762
12:19:43:222,-0.004956241
12:19:43:231,-0.004578424
12:19:43:241,-0.004412542
12:19:43:250,-0.004675728
12:19:43:263,-0.005711865
12:19:43:274,-0.006469727
12:19:43:288,-0.006744385
12:19:43:296,-0.007202148
12:19:43:305,-0.006713867
12:19:43:313,-0.00668335
12:19:43:323,-0.006622314
12:19:43:333,-0.007293701
12:19:43:343,-0.006378174
12:19:43:351,-0.005828857
12:19:43:359,-0.006378174
12:19:43:367,-0.006896973
12:19:43:376,-0.008178711
12:19:43:385,-0.008148193
12:19:43:393,-0.00793457
12:19:43:405,-0.008483887
12:19:43:415,-0.009979248
12:19:43:423,-0.0111084
12:19:43:432,-0.01113892
12:19:43:440,-0.01116943
12:19:43:449,-0.01132202
12:19:43:461,-0.01211548
12:19:43:469,-0.01239014
12:19:43:479,-0.01275635
12:19:43:490,-0.01239014
12:19:43:498,-0.01312256
12:19:43:507,-0.01309204
12:19:43:515,-0.0135498
12:19:43:523,-0.01397705
12:19:43:532,-0.01495361
12:19:43:540,-0.01589966
12:19:43:547,-0.01678467
12:19:43:556,-0.01696777
12:19:43:565,-0.0184021
12:19:43:573,-0.01916504
12:19:43:581,-0.02026367
12:19:43:590,-0.02093506
12:19:43:599,-0.02246094
12:19:43:607,-0.02380371
12:19:43:615,-0.0241394
12:19:43:626,-0.02566528
12:19:43:633,-0.02749634
12:19:43:640,-0.027771
12:19:43:650,-0.02896118
12:19:43:657,-0.02920532
12:19:43:667,-0.03158569
12:19:43:675,-0.03222656
12:19:43:685,-0.0335083
12:19:43:692,-0.03427124
12:19:43:700,-0.03594971
12:19:43:709,-0.03692627
12:19:43:719,-0.03829956
12:19:43:727,-0.03805542
12:19:43:735,-0.0385437
12:19:43:745,-0.03948975
12:19:43:752,-0.03991699
12:19:43:760,-0.03967285
12:19:43:769,-0.03866577
12:19:43:775,-0.03857422
12:19:43:785,-0.03811646
12:19:43:792,-0.03787231
12:19:43:800,-0.03839111
12:19:43:807,-0.03735352
12:19:43:815,-0.03692627
12:19:43:824,-0.03671265
12:19:43:831,-0.03622437
12:19:43:840,-0.03692627
12:19:43:847,-0.03601074
12:19:43:856,-0.034729
12:19:43:864,-0.03479004
12:19:43:871,-0.03610229
12:19:43:881,-0.03527832
12:19:43:890,-0.03643799
12:19:43:897,-0.03713989
12:19:43:906,-0.0368042
12:19:43:914,-0.0369873
12:19:43:922,-0.03735352
12:19:43:929,-0.03634644
12:19:43:938,-0.03659058
12:19:43:948,-0.03781128
12:19:43:955,-0.03811646
12:19:43:963,-0.03762817
12:19:43:971,-0.03869629
12:19:43:979,-0.03860474
12:19:43:988,-0.03942871
12:19:43:996,-0.03878784
12:19:44:008,-0.03857422
12:19:44:017,-0.03894043
12:19:44:025,-0.03915405
12:19:44:033,-0.0390625
12:19:44:042,-0.03869629
12:19:44:049,-0.03851318
12:19:44:058,-0.03823853
12:19:44:066,-0.03765869
12:19:44:074,-0.03759766
12:19:44:082,-0.03768921
12:19:44:090,-0.03775024
12:19:44:098,-0.03811646
12:19:44:107,-0.03842163
12:19:44:117,-0.0383606
12:19:44:126,-0.0369873
12:19:44:133,-0.03717041
12:19:44:140,-0.03619385
12:19:44:149,-0.03561401
12:19:44:157,-0.03674316
12:19:44:166,-0.03643799
12:19:44:176,-0.03747559
12:19:44:183,-0.0380249
12:19:44:190,-0.03924561
12:19:44:198,-0.03927612
12:19:44:207,-0.03964233
12:19:44:215,-0.03982544
12:19:44:223,-0.03909302
12:19:44:230,-0.03939819
12:19:44:239,-0.03967285
12:19:44:248,-0.03985596
12:19:44:255,-0.03967285
12:19:44:263,-0.04037476
12:19:44:271,-0.04034424
12:19:44:279,-0.0418396
12:19:44:288,-0.04162598
12:19:44:296,-0.04223633
12:19:44:303,-0.04217529
12:19:44:312,-0.04223633
12:19:44:319,-0.04312134
12:19:44:328,-0.0430603
12:19:44:337,-0.0435791
12:19:44:344,-0.04437256
12:19:44:355,-0.0447998
12:19:44:363,-0.04571533
12:19:44:371,-0.04559326
12:19:44:379,-0.04504395
12:19:44:387,-0.04669189
12:19:44:395,-0.04602051
12:19:44:402,-0.04516602
12:19:44:413,-0.04504395
12:19:44:420,-0.04498291
12:19:44:429,-0.04544067
12:19:44:437,-0.04547119
12:19:44:446,-0.04580688
12:19:44:453,-0.0458374
12:19:44:461,-0.0461731
12:19:44:472,-0.04620361
12:19:44:480,-0.04666138
12:19:44:488,-0.0463562
12:19:44:496,-0.0463562
12:19:44:504,-0.04748535
12:19:44:512,-0.04772949
12:19:44:523,-0.0489502
12:19:44:532,-0.04910278
12:19:44:539,-0.04864502
12:19:44:547,-0.04934692
12:19:44:555,-0.04931641
12:19:44:563,-0.04934692
12:19:44:571,-0.04934692
12:19:44:580,-0.04885864
12:19:44:588,-0.04837036
12:19:44:596,-0.04898071
12:19:44:603,-0.04943848
12:19:44:614,-0.04885864
12:19:44:622,-0.0496521
12:19:44:630,-0.04968262
12:19:44:642,-0.04989624
12:19:44:652,-0.05075073
12:19:44:662,-0.05020142
12:19:44:670,-0.05096436
12:19:44:678,-0.05041504
12:19:44:686,-0.04995728
12:19:44:693,-0.05075073
12:19:44:700,-0.05059814
12:19:44:708,-0.05020142
12:19:44:719,-0.05126953
12:19:44:727,-0.05102539
12:19:44:735,-0.05160522
12:19:44:743,-0.05221558
12:19:44:752,-0.05230713
12:19:44:759,-0.0519104
12:19:44:767,-0.05142212
12:19:44:777,-0.05111694
12:19:44:785,-0.05123901
12:19:44:794,-0.05078125
12:19:44:801,-0.05093384
12:19:44:809,-0.05041504
12:19:44:817,-0.05169678
12:19:44:825,-0.05224609
12:19:44:837,-0.05255127
12:19:44:844,-0.05239868
12:19:44:852,-0.05255127
12:19:44:860,-0.05273438
12:19:44:868,-0.05276489
12:19:44:876,-0.05258179
12:19:44:885,-0.05200195
12:19:44:893,-0.05279541
12:19:44:900,-0.05126953
12:19:44:909,-0.0512085
12:19:44:916,-0.05187988
12:19:44:924,-0.0519104
12:19:44:933,-0.05252075
12:19:44:943,-0.05410767
12:19:44:950,-0.0541687
12:19:44:958,-0.05566406
12:19:44:965,-0.05667114
12:19:44:974,-0.05722046
12:19:44:982,-0.05734253
12:19:44:989,-0.05664063
12:19:45:000,-0.0557251
12:19:45:007,-0.05484009
12:19:45:017,-0.05407715
12:19:45:025,-0.05471802
12:19:45:033,-0.05548096
12:19:45:041,-0.05703735
12:19:45:048,-0.05456543
12:19:45:058,-0.05722046
12:19:45:065,-0.05654907
12:19:45:072,-0.05718994
12:19:45:079,-0.05807495
12:19:45:086,-0.05877686
12:19:45:096,-0.05874634
12:19:45:104,-0.05984497
12:19:45:114,-0.05810547
12:19:45:121,-0.05828857
12:19:45:129,-0.05856323
12:19:45:138,-0.05831909
12:19:45:145,-0.05859375
12:19:45:154,-0.05947876
12:19:45:164,-0.05941772
12:19:45:173,-0.05926514
12:19:45:180,-0.05825806
12:19:45:189,-0.05841064
12:19:45:198,-0.059021
12:19:45:206,-0.05953979
12:19:45:214,-0.05923462
12:19:45:224,-0.06002808
12:19:45:232,-0.06057739
12:19:45:239,-0.06085205
12:19:45:247,-0.06118774
12:19:45:256,-0.06112671
12:19:45:266,-0.06079102
12:19:45:273,-0.0609436
12:19:45:282,-0.06173706
12:19:45:291,-0.06143188
12:19:45:300,-0.06195068
12:19:45:308,-0.06115723
12:19:45:314,-0.06134033
12:19:45:321,-0.06109619
12:19:45:329,-0.06176758
12:19:45:339,-0.06066895
12:19:45:346,-0.06161499
12:19:45:355,-0.06219482
12:19:45:363,-0.06079102
12:19:45:371,-0.06115723
12:19:45:380,-0.06137085
12:19:45:387,-0.06170654
12:19:45:397,-0.06137085
12:19:45:406,-0.06176758
12:19:45:413,-0.06057739
12:19:45:420,-0.06063843
12:19:45:428,-0.06054688
12:19:45:436,-0.06063843
12:19:45:443,-0.06109619
12:19:45:453,-0.06082153
12:19:45:462,-0.06097412
12:19:45:469,-0.06063843
12:19:45:477,-0.06085205
12:19:45:486,-0.06124878
12:19:45:493,-0.06066895
12:19:45:501,-0.06021118
12:19:45:511,-0.06085205
12:19:45:520,-0.06039429
12:19:45:527,-0.06063843
12:19:45:534,-0.0604248
12:19:45:542,-0.06072998
12:19:45:550,-0.05966187
12:19:45:557,-0.05993652
12:19:45:567,-0.05990601
12:19:45:575,-0.06030273
12:19:45:583,-0.0604248
12:19:45:590,-0.05969238
12:19:45:599,-0.05987549
12:19:45:606,-0.06033325
12:19:45:613,-0.05984497
12:19:45:623,-0.06054688
12:19:45:632,-0.06011963
12:19:45:643,-0.06103516
12:19:45:650,-0.0614624
12:19:45:661,-0.06097412
12:19:45:669,-0.06176758
12:19:45:677,-0.0612793
12:19:45:686,-0.0614624
12:19:45:693,-0.06158447
12:19:45:703,-0.06097412
12:19:45:713,-0.06103516
12:19:45:723,-0.06130981
12:19:45:734,-0.06060791
12:19:45:744,-0.06130981
12:19:45:751,-0.06140137
12:19:45:760,-0.06173706
12:19:45:767,-0.06115723
12:19:45:775,-0.06195068
12:19:45:783,-0.06100464
12:19:45:791,-0.06259155
12:19:45:798,-0.06207275
12:19:45:809,-0.06195068
12:19:45:818,-0.06210327
12:19:45:829,-0.06240845
12:19:45:837,-0.06265259
12:19:45:846,-0.06283569
12:19:45:854,-0.06314087
12:19:45:862,-0.06369019
12:19:45:870,-0.06332397
12:19:45:880,-0.06332397
12:19:45:887,-0.06524658
12:19:45:896,-0.06494141
12:19:45:903,-0.06439209
12:19:45:911,-0.06460571
12:19:45:918,-0.06433105
12:19:45:925,-0.06494141
12:19:45:934,-0.06393433
12:19:45:943,-0.0647583
12:19:45:951,-0.0652771
12:19:45:958,-0.06533813
12:19:45:966,-0.06564331
12:19:45:973,-0.06506348
12:19:45:984,-0.06607056
12:19:45:990,-0.06668091
12:19:46:003,-0.06698608
12:19:46:008,-0.0670166
12:19:46:017,-0.06668091
12:19:46:026,-0.06729126
12:19:46:033,-0.06719971
12:19:46:043,-0.06680298
12:19:46:050,-0.06729126
12:19:46:059,-0.06643677
12:19:46:066,-0.06652832
12:19:46:074,-0.065979
12:19:46:083,-0.065979
12:19:46:090,-0.0664978
12:19:46:098,-0.06634521
12:19:46:107,-0.06576538
12:19:46:115,-0.06564331
12:19:46:123,-0.0664978
12:19:46:130,-0.0664978
12:19:46:139,-0.06604004
12:19:46:147,-0.06674194
12:19:46:154,-0.065979
12:19:46:164,-0.06680298
12:19:46:172,-0.06698608
12:19:46:180,-0.06665039
12:19:46:188,-0.06695557
12:19:46:195,-0.06668091
12:19:46:204,-0.06692505
12:19:46:212,-0.0657959
12:19:46:221,-0.06521606
12:19:46:229,-0.06518555
12:19:46:236,-0.06533813
12:19:46:245,-0.06512451
12:19:46:252,-0.06503296
12:19:46:260,-0.06558228
12:19:46:267,-0.06546021
12:19:46:277,-0.06628418
12:19:46:285,-0.06634521
12:19:46:293,-0.06616211
