note,number of notes to repeat,difficulty
1,1,One
5,1,One
4,1,One
5,1,One
4,1,One
2,1,One
2,1,One
2,1,One
1,1,One
1,1,One
2,1,One
5,1,One
4,1,One
5,1,One
5,1,One
2,1,One
4,1,One
4,1,One
4,1,One
3,1,One
3,1,One
4,1,One
0,1,One
2,1,One
1,1,One
3,1,One
0,1,One
4,1,One
5,1,One
1,1,One
5,1,One
3,1,One
0,1,One
5,1,One
4,1,One
5,1,One
3,1,One
5,1,One
0,1,One
2,1,One
3,1,One
5,1,One
5,1,One
4,1,One
1,1,One
5,1,One
4,1,One
0,1,One
3,1,One
2,1,One
1,1,One
2,1,One
3,1,One
4,1,One
3,1,One
0,1,One
5,1,One
0,1,One
0,1,One
5,1,One
3,1,One
0,1,One
5,1,One
4,1,One
1,1,One
3,1,One
0,1,One
0,1,One
4,1,One
2,1,One
3,1,One
1,1,One
5,1,One
3,1,One
3,1,One
1,1,One
4,1,One
0,1,One
5,1,One
2,1,One
0,1,One
1,1,One
0,1,One
4,1,One
2,1,One
2,1,One
5,1,One
5,1,One
2,1,One
1,1,One
1,1,One
1,1,One
2,1,One
3,1,One
5,1,One
0,1,One
1,1,One
0,1,One
5,1,One
4,1,One
3,2,One
2,2,One
5,2,One
2,2,One
2,2,One
0,2,One
0,2,One
5,2,One
5,2,One
2,2,One
3,2,One
2,2,One
5,2,One
0,2,One
1,2,One
5,2,One
5,2,One
0,2,One
3,2,One
0,2,One
1,2,One
2,2,One
0,2,One
3,2,One
5,2,One
5,2,One
1,2,One
4,2,One
3,2,One
3,2,One
4,2,One
3,2,One
2,2,One
2,2,One
3,2,One
1,2,One
0,2,One
2,2,One
0,2,One
4,2,One
3,2,One
5,2,One
0,2,One
4,2,One
5,2,One
2,2,One
5,2,One
4,2,One
2,2,One
1,2,One
5,2,One
3,2,One
4,2,One
5,2,One
3,2,One
0,2,One
1,2,One
0,2,One
3,2,One
0,2,One
4,2,One
3,2,One
4,2,One
0,2,One
1,2,One
4,2,One
1,2,One
2,2,One
2,2,One
0,2,One
3,2,One
1,2,One
1,2,One
5,2,One
5,2,One
1,2,One
5,2,One
1,2,One
0,2,One
4,2,One
3,2,One
1,2,One
4,2,One
2,2,One
5,2,One
5,2,One
0,2,One
4,2,One
5,2,One
0,2,One
4,2,One
0,2,One
4,2,One
2,2,One
4,2,One
3,2,One
3,2,One
3,2,One
5,2,One
0,2,One
4,3,One
4,3,One
4,3,One
0,3,One
0,3,One
2,3,One
2,3,One
5,3,One
3,3,One
1,3,One
4,3,One
0,3,One
4,3,One
5,3,One
5,3,One
3,3,One
5,3,One
3,3,One
0,3,One
4,3,One
4,3,One
4,3,One
0,3,One
4,3,One
5,3,One
3,3,One
2,3,One
2,3,One
2,3,One
4,3,One
2,3,One
1,3,One
4,3,One
4,3,One
2,3,One
3,3,One
3,3,One
2,3,One
2,3,One
5,3,One
1,3,One
0,3,One
3,3,One
1,3,One
1,3,One
3,3,One
5,3,One
0,3,One
0,3,One
4,3,One
4,3,One
5,3,One
0,3,One
2,3,One
5,3,One
3,3,One
3,3,One
0,3,One
1,3,One
4,3,One
4,3,One
4,3,One
1,3,One
0,3,One
1,3,One
4,3,One
0,3,One
1,3,One
3,3,One
3,3,One
1,3,One
5,3,One
5,3,One
3,3,One
2,3,One
1,3,One
4,3,One
2,3,One
0,3,One
0,3,One
3,3,One
3,3,One
1,3,One
4,3,One
5,3,One
2,3,One
1,3,One
2,3,One
3,3,One
3,3,One
4,3,One
5,3,One
0,3,One
1,3,One
1,3,One
4,3,One
5,3,One
1,3,One
2,3,One
5,3,One
3,4,One
1,4,One
5,4,One
4,4,One
1,4,One
0,4,One
1,4,One
0,4,One
4,4,One
5,4,One
4,4,One
4,4,One
4,4,One
5,4,One
1,4,One
3,4,One
1,4,One
0,4,One
4,4,One
0,4,One
1,4,One
4,4,One
1,4,One
1,4,One
5,4,One
4,4,One
5,4,One
2,4,One
2,4,One
3,4,One
2,4,One
4,4,One
5,4,One
0,4,One
0,4,One
0,4,One
5,4,One
5,4,One
2,4,One
3,4,One
2,4,One
2,4,One
3,4,One
5,4,One
5,4,One
0,4,One
4,4,One
5,4,One
1,4,One
0,4,One
1,4,One
3,4,One
5,4,One
2,4,One
3,4,One
2,4,One
3,4,One
4,4,One
4,4,One
0,4,One
2,4,One
2,4,One
3,4,One
2,4,One
0,4,One
5,4,One
3,4,One
3,4,One
0,4,One
2,4,One
1,4,One
0,4,One
0,4,One
5,4,One
2,4,One
5,4,One
5,4,One
1,4,One
0,4,One
5,4,One
1,4,One
3,4,One
4,4,One
3,4,One
2,4,One
5,4,One
2,4,One
2,4,One
4,4,One
2,4,One
2,4,One
5,4,One
5,4,One
0,4,One
0,4,One
2,4,One
5,4,One
5,4,One
0,4,One
0,4,One
4,5,One
4,5,One
1,5,One
2,5,One
3,5,One
1,5,One
0,5,One
2,5,One
0,5,One
4,5,One
3,5,One
0,5,One
1,5,One
0,5,One
3,5,One
5,5,One
3,5,One
3,5,One
3,5,One
0,5,One
2,5,One
4,5,One
2,5,One
5,5,One
2,5,One
2,5,One
1,5,One
4,5,One
0,5,One
1,5,One
5,5,One
1,5,One
0,5,One
2,5,One
3,5,One
5,5,One
3,5,One
5,5,One
4,5,One
1,5,One
3,5,One
3,5,One
5,5,One
3,5,One
2,5,One
5,5,One
5,5,One
2,5,One
5,5,One
1,5,One
1,5,One
0,5,One
0,5,One
0,5,One
4,5,One
2,5,One
0,5,One
3,5,One
2,5,One
5,5,One
5,5,One
1,5,One
2,5,One
1,5,One
3,5,One
2,5,One
1,5,One
3,5,One
0,5,One
2,5,One
3,5,One
5,5,One
5,5,One
3,5,One
2,5,One
5,5,One
1,5,One
5,5,One
1,5,One
5,5,One
3,5,One
3,5,One
5,5,One
2,5,One
3,5,One
3,5,One
2,5,One
2,5,One
5,5,One
4,5,One
4,5,One
2,5,One
3,5,One
5,5,One
5,5,One
3,5,One
3,5,One
4,5,One
3,5,One
4,5,One
0,1,Two
4,1,Two
0,1,Two
6,1,Two
5,1,Two
4,1,Two
4,1,Two
0,1,Two
0,1,Two
4,1,Two
3,1,Two
3,1,Two
4,1,Two
2,1,Two
1,1,Two
3,1,Two
6,1,Two
2,1,Two
1,1,Two
2,1,Two
2,1,Two
6,1,Two
6,1,Two
6,1,Two
6,1,Two
1,1,Two
3,1,Two
4,1,Two
5,1,Two
5,1,Two
4,1,Two
2,1,Two
5,1,Two
2,1,Two
2,1,Two
0,1,Two
2,1,Two
6,1,Two
4,1,Two
5,1,Two
2,1,Two
2,1,Two
4,1,Two
3,1,Two
5,1,Two
3,1,Two
3,1,Two
4,1,Two
6,1,Two
3,1,Two
1,1,Two
0,1,Two
1,1,Two
2,1,Two
3,1,Two
6,1,Two
6,1,Two
0,1,Two
0,1,Two
2,1,Two
3,1,Two
1,1,Two
5,1,Two
3,1,Two
3,1,Two
3,1,Two
0,1,Two
4,1,Two
6,1,Two
0,1,Two
2,1,Two
3,1,Two
3,1,Two
4,1,Two
2,1,Two
1,1,Two
2,1,Two
1,1,Two
0,1,Two
6,1,Two
0,1,Two
0,1,Two
1,1,Two
3,1,Two
0,1,Two
4,1,Two
5,1,Two
1,1,Two
1,1,Two
2,1,Two
3,1,Two
